Id,SalePrice
1461,112935.86737844459
1462,165057.90025092027
1463,170446.60465557175
1464,184497.70842347824
1465,230892.7166719453
1466,168991.43040382466
1467,170015.96845829498
1468,165626.01065174415
1469,179639.99666193756
1470,115977.50301456131
1471,145732.21071544924
1472,93080.68937732477
1473,90978.41934831627
1474,142894.2059551924
1475,126370.56119261344
1476,393694.5124013979
1477,264268.3306338864
1478,360307.16158958466
1479,335022.67057827837
1480,456806.5888867647
1481,293496.9336651943
1482,231170.08763776463
1483,187515.44050675415
1484,169884.23243378755
1485,200647.84074482165
1486,199055.44524814287
1487,363862.37261338125
1488,242944.1985980937
1489,206115.22688979597
1490,236286.7215009617
1491,203164.23775721027
1492,111975.87069146906
1493,181245.14362932357
1494,315311.2177743375
1495,294602.65729115694
1496,231327.25741859886
1497,193339.29871885828
1498,160599.49532500067
1499,153675.16620932787
1500,149670.95037556684
1501,166964.2185962415
1502,144890.83642458555
1503,239278.22632888972
1504,248033.4676386665
1505,221376.24442656594
1506,187295.90848038206
1507,224231.53446863336
1508,189965.82199793344
1509,167826.87354662508
1510,147723.31713682303
1511,131941.5673001549
1512,165747.77704722184
1513,182767.6026665917
1514,155553.0198874767
1515,197269.6419529199
1516,148114.07844237296
1517,164529.5991659148
1518,131147.0563615709
1519,192623.058606199
1520,131209.8058273797
1521,136371.8026907437
1522,171149.79591757304
1523,124065.45404092065
1524,123162.57117373095
1525,123544.01825377566
1526,120085.82089487993
1527,121931.25662800984
1528,125829.37165166961
1529,158582.42021053133
1530,164504.83923094347
1531,119427.69157271506
1532,81958.25822976831
1533,134788.2067045138
1534,119608.3236382847
1535,144829.31006362982
1536,104561.26576046378
1537,125539.62666537345
1538,197668.8002308131
1539,228417.42165516445
1540,122433.82682160963
1541,133935.14767823415
1542,140931.76096684078
1543,185284.18410912162
1544,98374.7957377751
1545,132643.607306459
1546,137761.8704655703
1547,120371.63660903845
1548,145197.12608003442
1549,105928.58481694781
1550,142801.81638006453
1551,98134.60553337727
1552,157652.8440745637
1553,146575.57354057784
1554,129343.68499329087
1555,179209.35866935074
1556,102758.38110937469
1557,103858.69794788316
1558,101940.26788602967
1559,140395.8262845248
1560,123397.79776064097
1561,157962.0153420613
1562,130154.09073663829
1563,110220.39539777499
1564,151814.0880162302
1565,132164.99508992938
1566,228203.97491198673
1567,74705.32563014934
1568,243911.08492839092
1569,132209.55479092326
1570,144853.91113872488
1571,88055.12288315024
1572,137339.68930451304
1573,196875.83201203623
1574,134932.84543582576
1575,226249.49335041118
1576,197191.78842998703
1577,188238.9795130965
1578,167890.53431541158
1579,138650.62337362533
1580,194322.28264875163
1581,168450.6683887968
1582,128099.06408890721
1583,268154.65137619304
1584,225328.27946056437
1585,131218.18692828534
1586,68037.37797133508
1587,121174.47393628332
1588,156525.04447047284
1589,90258.03594574495
1590,141686.89865636692
1591,105535.60476524022
1592,118570.18901374406
1593,119738.55498173943
1594,180575.59478942316
1595,148163.9999900076
1596,235663.81644857337
1597,204040.25376092258
1598,230912.92665571568
1599,184424.01262204826
1600,191903.23340065603
1601,101334.97440336458
1602,124010.75099098968
1603,85379.89237103355
1604,263485.38513145247
1605,226823.3102757217
1606,176998.73639979516
1607,173526.23685873422
1608,202779.83381654776
1609,195102.76847666112
1610,164296.41058535734
1611,133513.55795282003
1612,197943.9381586453
1613,163795.9831003527
1614,116372.64258560329
1615,81478.28735083714
1616,70769.75442457164
1617,93357.0700343193
1618,129342.11782520049
1619,139735.84841690783
1620,155897.19681220345
1621,126024.31824885099
1622,151656.02845611167
1623,249768.69304881198
1624,194507.7490946136
1625,119594.1052467787
1626,167542.0796005717
1627,176384.40590319945
1628,254306.0857997135
1629,196167.03453981207
1630,351396.50388382364
1631,261815.74885403586
1632,263999.6985692566
1633,189824.20255835378
1634,178513.74622738204
1635,165922.00480983255
1636,163741.65875892865
1637,185935.90771435288
1638,206613.04410497576
1639,187616.99035304063
1640,255354.6695132882
1641,175558.04137371184
1642,251759.63929911063
1643,247478.297638359
1644,241760.87326592836
1645,186794.17439190747
1646,153780.70787890622
1647,156244.11712987698
1648,135751.1993065672
1649,151590.98044906685
1650,118501.82586279203
1651,112458.31549546908
1652,93303.81239362748
1653,99694.27280737588
1654,146636.6725251277
1655,135756.35549744777
1656,148066.06834241457
1657,157223.12842111173
1658,157415.75335693272
1659,136806.3040661665
1660,148064.6795938192
1661,422610.5711011627
1662,406135.1663789769
1663,388884.8629993667
1664,435137.3799042569
1665,370451.64875575004
1666,292714.2653277172
1667,344765.4091746827
1668,369862.663846515
1669,347837.4396156644
1670,373262.51710026036
1671,258820.45409297862
1672,406697.87365871144
1673,303962.7209261422
1674,264861.623820486
1675,202100.38460208953
1676,191654.6842187285
1677,211913.15423353575
1678,494428.4140318424
1679,354340.6002164491
1680,355455.79706536897
1681,328143.6810130809
1682,302955.025459148
1683,209722.75832686306
1684,185899.02891840815
1685,178378.30884956464
1686,173342.1215460992
1687,191691.20073953643
1688,192707.3981747579
1689,193337.83253039233
1690,186327.15175294294
1691,176618.18097492424
1692,260577.37441150704
1693,201251.73002659215
1694,172750.6413173105
1695,192652.41900295753
1696,252054.03503806214
1697,194881.82581756462
1698,328104.4628156406
1699,312597.3679655193
1700,269637.5686266759
1701,297154.5115647282
1702,253182.06258455524
1703,254605.91260888136
1704,251290.0697340984
1705,258961.16380922182
1706,187496.42627633363
1707,244035.2909833365
1708,216467.40624907007
1709,289174.7777170689
1710,239264.82978536084
1711,268915.3254319605
1712,261894.92924483027
1713,251391.71219595487
1714,209101.32420475187
1715,214523.43973348674
1716,195637.20581037086
1717,182020.43604345567
1718,166507.83132206288
1719,208310.61956869077
1720,229924.26285447867
1721,164725.82013358234
1722,137273.53798309958
1723,143067.6844147105
1724,204775.89741568884
1725,240565.3253472153
1726,194302.83575293678
1727,175861.32493740448
1728,171541.33372022357
1729,186667.58838481997
1730,148759.30924927804
1731,114400.59129205253
1732,113685.69376345427
1733,109920.45003642648
1734,122608.43327581114
1735,122050.16468796745
1736,113358.11696601007
1737,268499.7871961789
1738,262907.9493200524
1739,254068.3011844518
1740,212865.16073618538
1741,178893.9674283145
1742,169661.31712564436
1743,163197.96165964758
1744,308980.35001355107
1745,253392.79927091044
1746,298739.86502247734
1747,219031.85670051456
1748,232654.55232936668
1749,137738.3287895135
1750,129797.84575246414
1751,227284.90222173545
1752,115544.64482067584
1753,160139.64041777368
1754,194144.83020987565
1755,168545.64544267126
1756,120434.6504848107
